ticket_id,user_id,created_at,resolved_at,ticket_category,nps_score,nps_comment
tkt_3576,usr_ad525241,2024-09-18T00:00:00Z,2024-09-21T22:00:00Z,technical,9.0,
tkt_f2e5,usr_23185e69,2024-09-11T00:00:00Z,2024-09-12T10:00:00Z,billing,8.0,
tkt_10dd,usr_4b87b7f1,2024-01-18T00:00:00Z,2024-01-22T00:00:00Z,technical,2.0,
tkt_97f5,usr_6f64768c,2024-01-24T00:00:00Z,2024-01-25T05:00:00Z,billing,4.0,
tkt_5b80,usr_91c7587e,2024-05-24T00:00:00Z,2024-05-24T16:00:00Z,feature_req,8.0,
tkt_67b4,usr_df775eeb,2024-04-16T00:00:00Z,2024-04-17T21:00:00Z,access,8.0,
tkt_c73d,usr_93fbc3f8,2024-05-07T00:00:00Z,2024-05-09T14:00:00Z,billing,10.0,Sample comment
tkt_13e2,usr_65e69172,2024-03-19T00:00:00Z,2024-03-22T23:00:00Z,technical,9.0,Sample comment
tkt_6098,usr_02d06dc3,2024-04-28T00:00:00Z,2024-04-28T02:00:00Z,technical,8.0,
tkt_75ab,usr_1a71e133,2024-06-07T00:00:00Z,2024-06-08T07:00:00Z,technical,7.0,Sample comment
tkt_5b03,usr_d9036cb1,2024-06-09T00:00:00Z,2024-06-09T04:00:00Z,billing,5.0,Sample comment
tkt_80e4,usr_45c4d247,2024-07-22T00:00:00Z,2024-07-24T00:00:00Z,feature_req,10.0,
tkt_9abf,usr_639f39ed,2024-11-06T00:00:00Z,2024-11-10T03:00:00Z,billing,7.0,
tkt_20e9,usr_d3e56cd1,2024-12-10T00:00:00Z,2024-12-14T03:00:00Z,billing,7.0,
tkt_31e7,usr_ab8c013f,2024-11-24T00:00:00Z,2024-11-26T21:00:00Z,billing,9.0,Sample comment
tkt_2625,usr_93db8b30,2024-05-20T00:00:00Z,2024-05-23T19:00:00Z,feature_req,8.0,Sample comment
tkt_7afb,usr_5ec0e0a1,2024-05-08T00:00:00Z,2024-05-09T03:00:00Z,access,8.0,
tkt_ec52,usr_e01d3f75,2024-08-13T00:00:00Z,2024-08-15T00:00:00Z,technical,9.0,
tkt_acce,usr_0f58cf5d,2024-10-28T00:00:00Z,2024-10-31T09:00:00Z,technical,9.0,
tkt_08e8,usr_83c40a5d,2024-02-21T00:00:00Z,2024-02-22T06:00:00Z,billing,10.0,
tkt_7151,usr_89d43931,2024-08-14T00:00:00Z,2024-08-16T03:00:00Z,technical,8.0,
tkt_5853,usr_35b99d42,2024-09-10T00:00:00Z,2024-09-12T16:00:00Z,feature_req,8.0,Sample comment
tkt_ab03,usr_0819b87d,2024-08-28T00:00:00Z,2024-08-30T04:00:00Z,billing,9.0,
tkt_2ca7,usr_2f30e82f,2024-12-20T00:00:00Z,2024-12-21T05:00:00Z,technical,9.0,
tkt_1eb4,usr_f85757b2,2024-12-10T00:00:00Z,2024-12-14T02:00:00Z,technical,6.0,
tkt_f60a,usr_b928471c,2024-02-23T00:00:00Z,2024-02-24T11:00:00Z,access,7.0,
tkt_609d,usr_4458b348,2024-10-08T00:00:00Z,2024-10-11T04:00:00Z,feature_req,10.0,
tkt_6e86,usr_a1505804,2024-03-16T00:00:00Z,2024-03-18T03:00:00Z,billing,8.0,
tkt_03de,usr_7bfad7c2,2024-10-04T00:00:00Z,2024-10-04T08:00:00Z,technical,2.0,
tkt_4bdc,usr_da0d65db,2024-08-29T00:00:00Z,2024-08-30T01:00:00Z,access,10.0,
tkt_1ec6,usr_9e6f511c,2024-02-18T00:00:00Z,2024-02-20T15:00:00Z,access,10.0,
tkt_0fe7,usr_2d5df6c7,2024-06-07T00:00:00Z,2024-06-10T08:00:00Z,access,10.0,
tkt_c4d6,usr_abb1ad08,2024-02-08T00:00:00Z,2024-02-10T11:00:00Z,feature_req,10.0,Sample comment
tkt_1c80,usr_7283e705,2024-09-01T00:00:00Z,2024-09-04T17:00:00Z,technical,9.0,Sample comment
tkt_ae31,usr_27c5e781,2024-11-07T00:00:00Z,2024-11-07T15:00:00Z,access,10.0,
tkt_e257,usr_790dc0a9,2024-06-18T00:00:00Z,2024-06-18T05:00:00Z,feature_req,10.0,
tkt_07e9,usr_d3eb5c38,2024-05-07T00:00:00Z,2024-05-08T20:00:00Z,technical,10.0,Sample comment
tkt_fcfc,usr_78e698c4,2024-09-14T00:00:00Z,2024-09-14T10:00:00Z,billing,8.0,
tkt_3a9b,usr_2eae45c3,2024-11-15T00:00:00Z,2024-11-18T04:00:00Z,billing,9.0,
tkt_2b29,usr_ba11d4d4,2024-06-04T00:00:00Z,2024-06-05T12:00:00Z,technical,9.0,
tkt_dc5c,usr_c1ba5b6e,2024-12-11T00:00:00Z,2024-12-11T02:00:00Z,technical,10.0,
tkt_d463,usr_fcc18b8c,2024-09-04T00:00:00Z,2024-09-07T13:00:00Z,feature_req,8.0,
tkt_8dc8,usr_be3105b3,2024-10-27T00:00:00Z,2024-10-30T19:00:00Z,technical,8.0,
tkt_f8ab,usr_69a4d915,2024-03-13T00:00:00Z,2024-03-14T19:00:00Z,access,9.0,
tkt_4563,usr_fca6c22b,2024-03-24T00:00:00Z,2024-03-28T01:00:00Z,access,5.0,
tkt_df11,usr_f40ffbd7,2024-07-28T00:00:00Z,2024-07-30T04:00:00Z,access,7.0,
tkt_20c4,usr_3310b0aa,2024-10-08T00:00:00Z,2024-10-11T04:00:00Z,billing,9.0,
tkt_73cd,usr_fd74c430,2024-03-27T00:00:00Z,2024-03-29T08:00:00Z,access,10.0,
tkt_6194,usr_f1c020a2,2024-04-27T00:00:00Z,2024-04-29T07:00:00Z,access,10.0,
tkt_603c,usr_31941981,2024-08-10T00:00:00Z,2024-08-11T02:00:00Z,technical,10.0,
tkt_07b5,usr_3ae79063,2024-06-25T00:00:00Z,2024-06-27T11:00:00Z,access,10.0,
tkt_63f1,usr_8e01a68d,2024-11-30T00:00:00Z,2024-12-01T19:00:00Z,technical,10.0,
tkt_8d5f,usr_6425ce6c,2024-09-29T00:00:00Z,2024-09-29T08:00:00Z,access,10.0,
tkt_a056,usr_654de267,2024-07-22T00:00:00Z,2024-07-24T00:00:00Z,technical,9.0,
tkt_58de,usr_add58d68,2024-11-16T00:00:00Z,2024-11-18T08:00:00Z,billing,8.0,
tkt_5ff0,usr_3a351220,2024-10-29T00:00:00Z,2024-10-29T10:00:00Z,access,9.0,
tkt_5bb0,usr_96176610,2024-03-24T00:00:00Z,2024-03-26T11:00:00Z,technical,4.0,Sample comment
tkt_ca67,usr_cf981c08,2024-09-30T00:00:00Z,2024-10-03T12:00:00Z,feature_req,9.0,Sample comment
tkt_fbbd,usr_32d0e748,2024-11-08T00:00:00Z,2024-11-11T22:00:00Z,billing,9.0,
tkt_70e5,usr_f1219013,2024-10-11T00:00:00Z,2024-10-13T02:00:00Z,billing,10.0,
tkt_2897,usr_deaccc70,2024-02-26T00:00:00Z,2024-02-29T14:00:00Z,feature_req,0.0,
tkt_185f,usr_e00138b6,2024-09-26T00:00:00Z,2024-09-28T08:00:00Z,billing,10.0,
tkt_ee1e,usr_8c03931a,2024-05-12T00:00:00Z,2024-05-14T15:00:00Z,access,8.0,
tkt_3ccb,usr_45af8b3d,2024-07-29T00:00:00Z,2024-07-29T18:00:00Z,access,3.0,
tkt_fc94,usr_7c05a791,2024-03-19T00:00:00Z,2024-03-20T05:00:00Z,access,10.0,
tkt_37ed,usr_669928ee,2024-04-01T00:00:00Z,2024-04-01T07:00:00Z,technical,10.0,Sample comment
tkt_19d0,usr_6221f027,2024-05-23T00:00:00Z,2024-05-23T23:00:00Z,technical,4.0,
tkt_91f8,usr_0910b000,2024-02-27T00:00:00Z,2024-03-01T23:00:00Z,feature_req,10.0,
tkt_9c3f,usr_1a3b4292,2024-11-18T00:00:00Z,2024-11-18T01:00:00Z,access,10.0,
tkt_dad7,usr_f9259e1f,2024-07-10T00:00:00Z,2024-07-12T10:00:00Z,technical,8.0,Sample comment
tkt_f3f7,usr_21318138,2024-09-23T00:00:00Z,2024-09-26T06:00:00Z,access,8.0,
tkt_19d8,usr_c1d2097c,2024-02-02T00:00:00Z,2024-02-05T13:00:00Z,access,9.0,
tkt_847f,usr_7463b7cf,2024-04-11T00:00:00Z,2024-04-14T07:00:00Z,technical,9.0,Sample comment
tkt_a1fe,usr_b75fd708,2024-09-17T00:00:00Z,2024-09-20T13:00:00Z,technical,10.0,Sample comment
tkt_6063,usr_a2b1753b,2024-09-15T00:00:00Z,2024-09-17T15:00:00Z,access,7.0,
tkt_ec41,usr_b81e82b4,2024-10-14T00:00:00Z,2024-10-14T04:00:00Z,access,10.0,
tkt_0e12,usr_d0ec1587,2024-03-09T00:00:00Z,2024-03-11T01:00:00Z,access,9.0,Sample comment
tkt_1234,usr_70a4cefc,2024-07-30T00:00:00Z,2024-08-01T09:00:00Z,feature_req,8.0,Sample comment
tkt_85f4,usr_10c926ef,2024-11-06T00:00:00Z,2024-11-08T07:00:00Z,technical,10.0,Sample comment
tkt_1552,usr_50105a4d,2024-08-04T00:00:00Z,2024-08-04T19:00:00Z,billing,10.0,
tkt_0a3a,usr_52c0cfc3,2024-11-25T00:00:00Z,2024-11-25T13:00:00Z,feature_req,0.0,
tkt_9373,usr_8a4b39c3,2024-09-12T00:00:00Z,2024-09-14T14:00:00Z,feature_req,10.0,
tkt_b9a6,usr_bb1ea2a9,2024-10-02T00:00:00Z,2024-10-02T20:00:00Z,access,9.0,
tkt_9f85,usr_d7851ba0,2024-08-05T00:00:00Z,2024-08-06T09:00:00Z,billing,10.0,Sample comment
tkt_ea34,usr_71033183,2024-07-13T00:00:00Z,2024-07-13T12:00:00Z,technical,10.0,Sample comment
tkt_bb25,usr_446525db,2024-02-01T00:00:00Z,2024-02-05T01:00:00Z,technical,8.0,
tkt_1524,usr_978965eb,2024-02-02T00:00:00Z,2024-02-04T05:00:00Z,billing,7.0,
tkt_9657,usr_486edaf0,2024-09-17T00:00:00Z,2024-09-18T11:00:00Z,technical,8.0,
tkt_a134,usr_1db6ab12,2024-06-04T00:00:00Z,2024-06-05T07:00:00Z,billing,10.0,
tkt_9b72,usr_e0a326ab,2024-06-14T00:00:00Z,2024-06-16T13:00:00Z,billing,8.0,
tkt_797d,usr_f3d4a581,2024-11-15T00:00:00Z,2024-11-15T21:00:00Z,technical,4.0,
tkt_7f82,usr_30bba7d3,2024-02-18T00:00:00Z,2024-02-20T06:00:00Z,billing,9.0,Sample comment
tkt_a97f,usr_dfc2d322,2024-12-10T00:00:00Z,2024-12-12T01:00:00Z,feature_req,8.0,
tkt_5d21,usr_c3ab09eb,2024-10-20T00:00:00Z,2024-10-20T16:00:00Z,billing,10.0,
tkt_1c3e,usr_5f323c7d,2024-07-03T00:00:00Z,2024-07-07T01:00:00Z,billing,9.0,Sample comment
tkt_59f5,usr_f99722d1,2024-04-28T00:00:00Z,2024-05-01T11:00:00Z,feature_req,8.0,Sample comment
tkt_a7a1,usr_4ba38fa6,2024-04-07T00:00:00Z,2024-04-07T02:00:00Z,billing,9.0,Sample comment
tkt_0bed,usr_d598f3e5,2024-11-28T00:00:00Z,2024-11-30T00:00:00Z,feature_req,9.0,
tkt_c3d6,usr_5e9204cd,2024-03-14T00:00:00Z,2024-03-17T04:00:00Z,feature_req,10.0,Sample comment
tkt_db0f,usr_dd7f61b2,2024-10-20T00:00:00Z,2024-10-21T22:00:00Z,technical,8.0,
tkt_024c,usr_0be59c8b,2024-12-06T00:00:00Z,2024-12-07T17:00:00Z,access,8.0,Sample comment
tkt_5bdd,usr_578635ae,2024-10-05T00:00:00Z,2024-10-06T20:00:00Z,billing,10.0,
tkt_9e11,usr_ba3cb3ab,2024-09-27T00:00:00Z,2024-09-27T13:00:00Z,feature_req,9.0,
tkt_20a3,usr_a00880ef,2024-02-17T00:00:00Z,2024-02-17T16:00:00Z,access,1.0,
tkt_fa90,usr_39901ca3,2024-03-16T00:00:00Z,2024-03-16T03:00:00Z,access,9.0,
tkt_0d2f,usr_e8e12c27,2024-10-23T00:00:00Z,2024-10-25T16:00:00Z,billing,10.0,
tkt_4158,usr_731b2062,2024-03-08T00:00:00Z,2024-03-10T12:00:00Z,billing,9.0,Sample comment
tkt_9c7e,usr_537e5d15,2024-10-23T00:00:00Z,2024-10-25T09:00:00Z,billing,7.0,
tkt_d441,usr_8c4874e7,2024-04-13T00:00:00Z,2024-04-16T20:00:00Z,feature_req,10.0,
tkt_2843,usr_69241d0f,2024-11-06T00:00:00Z,2024-11-06T01:00:00Z,technical,7.0,
tkt_b97d,usr_00a2f3a9,2024-03-09T00:00:00Z,2024-03-10T09:00:00Z,billing,9.0,
tkt_6927,usr_711a1cd9,2024-03-17T00:00:00Z,2024-03-19T19:00:00Z,access,8.0,
tkt_d0ef,usr_4e65d0b3,2024-04-23T00:00:00Z,2024-04-23T21:00:00Z,technical,9.0,Sample comment
tkt_252d,usr_1788f865,2024-04-19T00:00:00Z,2024-04-22T13:00:00Z,billing,10.0,
tkt_5d38,usr_9e1c961e,2024-06-14T00:00:00Z,2024-06-17T15:00:00Z,billing,9.0,Sample comment
tkt_c785,usr_5eadaba0,2024-01-27T00:00:00Z,2024-01-29T21:00:00Z,access,10.0,
tkt_0501,usr_aff95bb1,2024-12-20T00:00:00Z,2024-12-20T19:00:00Z,feature_req,10.0,Sample comment
tkt_77f9,usr_fab9677b,2024-05-17T00:00:00Z,2024-05-19T06:00:00Z,feature_req,9.0,Sample comment
tkt_a71a,usr_fe00c659,2024-11-30T00:00:00Z,2024-12-02T22:00:00Z,access,9.0,Sample comment
tkt_012b,usr_3299648e,2024-10-03T00:00:00Z,2024-10-04T15:00:00Z,billing,2.0,
tkt_25b5,usr_daa00ccc,2024-04-29T00:00:00Z,2024-04-29T13:00:00Z,feature_req,9.0,Sample comment
tkt_86aa,usr_9c239877,2024-11-01T00:00:00Z,2024-11-02T02:00:00Z,feature_req,10.0,Sample comment
tkt_71a5,usr_887d9e75,2024-06-22T00:00:00Z,2024-06-23T21:00:00Z,access,8.0,
tkt_a1e4,usr_eadd77b4,2024-05-16T00:00:00Z,2024-05-17T16:00:00Z,technical,10.0,Sample comment
tkt_03d8,usr_a069bf32,2024-03-02T00:00:00Z,2024-03-04T03:00:00Z,billing,8.0,
tkt_2890,usr_fe8844fc,2024-12-28T00:00:00Z,2024-12-30T01:00:00Z,billing,9.0,
tkt_00ad,usr_e7eab403,2024-02-16T00:00:00Z,2024-02-17T02:00:00Z,technical,10.0,
tkt_04a5,usr_ebe513db,2024-04-15T00:00:00Z,2024-04-16T11:00:00Z,technical,2.0,Sample comment
tkt_439f,usr_bb159239,2024-05-09T00:00:00Z,2024-05-12T06:00:00Z,access,10.0,
tkt_f74f,usr_7d05583b,2024-10-09T00:00:00Z,2024-10-12T00:00:00Z,feature_req,10.0,
tkt_ef09,usr_18ce0de4,2024-06-07T00:00:00Z,2024-06-09T21:00:00Z,technical,10.0,
tkt_e0c9,usr_374ed30b,2024-01-31T00:00:00Z,2024-02-04T03:00:00Z,billing,7.0,Sample comment
tkt_1185,usr_57023fbf,2024-11-01T00:00:00Z,2024-11-03T14:00:00Z,billing,0.0,
tkt_8a0e,usr_db6d37e2,2024-02-08T00:00:00Z,2024-02-11T07:00:00Z,access,8.0,
tkt_0ed4,usr_62c1150c,2024-10-31T00:00:00Z,2024-11-01T20:00:00Z,feature_req,8.0,
tkt_b5b8,usr_8d50550f,2024-08-13T00:00:00Z,2024-08-15T01:00:00Z,access,9.0,
tkt_47e3,usr_db6a11ba,2024-09-13T00:00:00Z,2024-09-14T14:00:00Z,access,7.0,Sample comment
tkt_16a8,usr_aef48f2b,2024-03-05T00:00:00Z,2024-03-08T14:00:00Z,feature_req,9.0,
tkt_1a37,usr_b5491971,2024-09-03T00:00:00Z,2024-09-05T12:00:00Z,billing,7.0,
tkt_4518,usr_f37fd5f6,2024-04-29T00:00:00Z,2024-05-02T09:00:00Z,billing,7.0,
tkt_8a5a,usr_cd5607dc,2024-03-24T00:00:00Z,2024-03-27T19:00:00Z,billing,8.0,
tkt_cf4c,usr_c2b2f1fd,2024-02-28T00:00:00Z,2024-02-29T18:00:00Z,technical,10.0,Sample comment
tkt_3298,usr_7ed7bbb2,2024-11-19T00:00:00Z,2024-11-20T21:00:00Z,technical,8.0,
tkt_cc01,usr_1d893fb0,2024-06-20T00:00:00Z,2024-06-22T20:00:00Z,billing,9.0,
tkt_5270,usr_50523ab8,2024-09-23T00:00:00Z,2024-09-25T02:00:00Z,technical,9.0,
tkt_9ac3,usr_3b8c4da8,2024-05-14T00:00:00Z,2024-05-15T04:00:00Z,technical,8.0,
tkt_4117,usr_2bd34312,2024-09-26T00:00:00Z,2024-09-28T15:00:00Z,billing,0.0,
tkt_47fa,usr_7f7d55fd,2024-12-29T00:00:00Z,,billing,,
tkt_4e35,usr_86c17bc6,2024-04-29T00:00:00Z,2024-04-30T11:00:00Z,feature_req,8.0,
tkt_b6e1,usr_fc705034,2024-04-07T00:00:00Z,2024-04-09T02:00:00Z,technical,8.0,
tkt_ae5e,usr_e68bfde1,2024-05-23T00:00:00Z,2024-05-23T17:00:00Z,access,7.0,
tkt_cff0,usr_4882f18c,2024-11-11T00:00:00Z,2024-11-14T08:00:00Z,access,9.0,
tkt_bdbf,usr_accb6e25,2024-04-18T00:00:00Z,2024-04-18T16:00:00Z,billing,7.0,
tkt_c945,usr_5f5a7939,2024-03-19T00:00:00Z,2024-03-21T16:00:00Z,technical,9.0,Sample comment
tkt_f254,usr_e2cf69e5,2024-10-08T00:00:00Z,2024-10-08T21:00:00Z,feature_req,10.0,
tkt_d1dd,usr_6ad0496e,2024-07-28T00:00:00Z,2024-07-31T16:00:00Z,access,10.0,
tkt_ebcd,usr_0877be13,2024-11-01T00:00:00Z,2024-11-02T08:00:00Z,billing,9.0,Sample comment
tkt_1195,usr_327befa6,2024-12-30T00:00:00Z,,technical,,
tkt_c941,usr_b6a4c17f,2024-04-23T00:00:00Z,2024-04-26T17:00:00Z,access,10.0,
tkt_d7ca,usr_db02e546,2024-12-08T00:00:00Z,2024-12-10T01:00:00Z,access,10.0,
tkt_d2ff,usr_e2e90e6d,2024-09-03T00:00:00Z,2024-09-03T10:00:00Z,technical,8.0,Sample comment
tkt_0173,usr_727cb3d8,2024-04-23T00:00:00Z,2024-04-26T09:00:00Z,technical,10.0,Sample comment
tkt_d494,usr_f57b99b0,2024-11-01T00:00:00Z,2024-11-02T10:00:00Z,billing,9.0,Sample comment
tkt_280b,usr_8ca4db70,2024-12-05T00:00:00Z,2024-12-05T10:00:00Z,feature_req,8.0,
tkt_b63a,usr_7cb6ae52,2024-12-27T00:00:00Z,2024-12-29T15:00:00Z,billing,4.0,
tkt_542b,usr_5750aeb7,2024-10-18T00:00:00Z,2024-10-21T04:00:00Z,access,6.0,
tkt_e1e2,usr_42c3f694,2024-10-29T00:00:00Z,2024-10-30T20:00:00Z,billing,9.0,
tkt_ef3c,usr_0d50a201,2024-09-26T00:00:00Z,2024-09-28T06:00:00Z,billing,9.0,Sample comment
tkt_6200,usr_ed83e025,2024-02-28T00:00:00Z,2024-03-02T19:00:00Z,billing,9.0,
tkt_047d,usr_19eddd57,2024-06-16T00:00:00Z,2024-06-17T14:00:00Z,billing,9.0,
tkt_2c3b,usr_26b30286,2024-09-03T00:00:00Z,2024-09-03T10:00:00Z,access,9.0,
tkt_ebd6,usr_129298d9,2024-11-23T00:00:00Z,2024-11-26T05:00:00Z,access,4.0,
tkt_9df6,usr_395f16cc,2024-11-12T00:00:00Z,2024-11-14T00:00:00Z,billing,9.0,
tkt_ed1b,usr_5fd11eca,2024-10-30T00:00:00Z,2024-10-31T19:00:00Z,billing,8.0,Sample comment
tkt_ea2a,usr_81759665,2024-10-21T00:00:00Z,2024-10-22T21:00:00Z,technical,3.0,Sample comment
tkt_486f,usr_05f9e94d,2024-04-18T00:00:00Z,2024-04-21T23:00:00Z,technical,8.0,
tkt_ddbd,usr_87b81e32,2024-06-17T00:00:00Z,2024-06-19T14:00:00Z,feature_req,10.0,
tkt_4c29,usr_7ea38412,2024-01-31T00:00:00Z,2024-02-02T17:00:00Z,access,10.0,Sample comment
tkt_50e7,usr_4e65196f,2024-05-07T00:00:00Z,2024-05-10T00:00:00Z,billing,9.0,Sample comment
tkt_6f53,usr_a4d2d9e7,2024-10-02T00:00:00Z,2024-10-03T23:00:00Z,feature_req,3.0,
tkt_8e47,usr_6756b11f,2024-02-08T00:00:00Z,2024-02-08T07:00:00Z,technical,7.0,
tkt_e109,usr_5e9cc1a0,2024-07-08T00:00:00Z,2024-07-11T15:00:00Z,access,8.0,
tkt_8e5e,usr_34b49c64,2024-08-20T00:00:00Z,2024-08-22T05:00:00Z,access,1.0,
tkt_97c9,usr_3f02f120,2024-04-13T00:00:00Z,2024-04-16T23:00:00Z,billing,8.0,
tkt_1fba,usr_453882f6,2024-02-25T00:00:00Z,2024-02-25T23:00:00Z,access,9.0,
tkt_1548,usr_3043f6ba,2024-08-24T00:00:00Z,2024-08-27T21:00:00Z,access,7.0,
tkt_6b0b,usr_2b2450ae,2024-05-03T00:00:00Z,2024-05-03T23:00:00Z,feature_req,1.0,
tkt_9043,usr_63c022d0,2024-10-17T00:00:00Z,2024-10-20T01:00:00Z,feature_req,8.0,
tkt_99cb,usr_440a6097,2024-12-19T00:00:00Z,2024-12-21T10:00:00Z,billing,10.0,
tkt_5a16,usr_3194f63a,2024-04-05T00:00:00Z,2024-04-06T16:00:00Z,feature_req,9.0,
tkt_5ac8,usr_66312159,2024-03-29T00:00:00Z,2024-03-30T14:00:00Z,technical,8.0,Sample comment
tkt_5be4,usr_1109e0aa,2024-09-28T00:00:00Z,2024-10-01T22:00:00Z,access,10.0,Sample comment
tkt_9eee,usr_c83639f7,2024-08-01T00:00:00Z,2024-08-02T08:00:00Z,access,10.0,Sample comment
tkt_ceed,usr_bae3bbc4,2024-05-30T00:00:00Z,2024-05-31T00:00:00Z,access,10.0,Sample comment
